student_id,gender,year,platform_preference,daily_screen_time_hrs,study_hours,sleep_hours,attendance_pct,assignment_completion_pct,exam_score,cgpa,screen_time_group,at_risk
S00001,Female,2nd Year,Instagram,6.59,1.51,5.96,72.5,56.8,61.1,8.07,6-8h,1
S00002,Female,4th Year,YouTube,5.2,3.01,6.86,79.1,59.9,68.1,9.55,4-6h,0
S00003,Female,2nd Year,WhatsApp,6.92,2.77,5.76,73.9,62.4,62.6,8.96,6-8h,0
S00004,Male,2nd Year,YouTube,8.85,3.11,6.1,75.5,71.9,52.2,8.76,8h+,0
S00005,Male,2nd Year,TikTok,4.98,1.04,4.62,83.5,61.2,38.5,8.76,4-6h,0
S00006,Female,1st Year,Snapchat,4.98,3.98,7.35,94.0,85.5,73.5,9.42,4-6h,0
S00007,Male,3rd Year,Snapchat,8.97,0.0,6.48,77.6,58.2,39.4,8.69,8h+,0
S00008,Male,1st Year,TikTok,7.19,1.75,5.68,67.1,59.2,53.8,8.24,6-8h,1
S00009,Male,3rd Year,Twitter/X,4.47,2.45,8.01,97.6,78.6,92.6,9.33,4-6h,0
S00010,Male,2nd Year,YouTube,6.69,3.74,8.04,75.2,72.7,71.7,8.3,6-8h,1
S00011,Male,2nd Year,Twitter/X,4.48,3.22,5.06,85.6,64.1,84.7,8.63,4-6h,0
S00012,Female,4th Year,Instagram,4.48,1.08,6.16,90.7,80.0,65.3,8.19,4-6h,1
S00013,Male,3rd Year,YouTube,6.03,1.43,5.92,86.4,65.5,54.9,9.05,6-8h,0
S00014,Female,3rd Year,Instagram,1.29,4.06,6.41,100.0,80.0,86.9,8.64,<2h,0
S00015,Female,1st Year,Snapchat,1.71,3.56,8.65,94.3,70.8,94.1,9.42,<2h,0
S00016,Male,3rd Year,YouTube,4.26,2.35,6.93,77.9,78.8,76.3,7.66,4-6h,1
S00017,Male,2nd Year,Instagram,3.27,2.68,6.99,100.0,76.3,72.0,8.89,2-4h,0
S00018,Male,4th Year,Instagram,6.19,3.92,4.29,86.1,75.6,68.5,8.66,6-8h,0
S00019,Male,1st Year,Twitter/X,3.5,2.58,8.13,85.9,67.4,63.5,9.66,2-4h,0
S00020,Male,4th Year,Snapchat,2.39,3.43,5.86,98.4,82.6,83.4,9.54,2-4h,0
S00021,Male,3rd Year,TikTok,8.72,5.67,6.59,83.6,78.6,81.9,8.64,8h+,0
S00022,Female,3rd Year,TikTok,5.0,0.95,7.44,89.6,58.5,62.1,9.06,4-6h,0
S00023,Female,1st Year,YouTube,5.65,0.2,8.75,100.0,49.1,58.2,8.64,4-6h,0
S00024,Male,3rd Year,YouTube,2.37,4.74,5.77,86.0,84.6,82.7,9.52,2-4h,0
S00025,Male,4th Year,Twitter/X,4.3,2.2,3.25,83.3,56.3,63.1,8.2,4-6h,1
S00026,Female,2nd Year,Instagram,5.74,2.48,7.2,85.9,68.3,66.2,8.39,4-6h,0
S00027,Female,1st Year,YouTube,2.97,2.28,9.72,98.8,67.9,79.1,9.0,2-4h,0
S00028,Female,3rd Year,YouTube,6.33,2.46,8.49,68.9,75.7,60.3,8.67,6-8h,0
S00029,Female,4th Year,YouTube,4.18,5.64,7.47,66.9,76.2,83.8,9.4,4-6h,0
S00030,Male,2nd Year,YouTube,4.86,4.32,6.46,79.9,83.1,77.3,9.76,4-6h,0
S00031,Male,3rd Year,TikTok,4.18,4.53,8.25,70.2,72.0,69.1,9.37,4-6h,0
S00032,Female,1st Year,Instagram,9.58,0.14,5.12,75.9,61.2,35.4,6.66,8h+,1
S00033,Male,3rd Year,TikTok,5.47,1.28,7.62,90.1,80.5,61.2,8.76,4-6h,0
